player,player_id,b_total_pa,bb_count,exit_velocity_avg,pull_air_pct,iz_contact_pct,swg_dec,z_ev,z_pullair,z_izcon,z_swgdec,composite_z,min_z,rank_ev,rank_pullair,rank_izcon,rank_swgdec,rank_composite_z,rank_min_z,z_swing_percent,oz_swing_percent,iz_contact_percent,woba,xwoba,barrel_batted_rate,hard_hit_percent
Yordan Alvarez,670541,129,76.0,94.0,31.57894736842105,93.3,67.6,1.6858702757831057,2.015442429011489,1.4776319643620899,-0.08248182855768205,1.2741157101497507,-0.08248182855768205,17,7,16,154,1,20,62.0,26.8,93.3,0.505,0.541,18.8,50.0
Mike Trout,545361,130,59.0,92.7,25.42372881355932,89.2,71.1,1.2267599558104672,1.1552334540002571,0.8287720476020112,0.9053930198326025,1.0290396193113345,0.8287720476020112,33,30,62,56,2,1,59.0,16.8,89.2,0.421,0.49,26.0,51.9
Mickey Moniak,666160,85,42.0,90.4,38.095238095238095,90.3,66.25,0.41448785124349086,2.926112247967479,1.002856415513251,-0.4635192700796473,0.9699843111611433,-0.4635192700796473,90,4,49,211,3,68,72.9,40.4,90.3,0.439,0.314,11.7,38.3
Ben Rice,700250,109,43.0,95.7,25.58139534883721,84.4,68.9,2.286245309593481,1.1772677924231945,0.06913116944386963,0.28444311513014114,0.9542718466476716,0.06913116944386963,5,28,143,120,4,9,57.7,19.9,84.4,0.492,0.456,22.6,64.5
Kevin McGonigle,805808,123,70.0,89.2,27.142857142857142,90.9,72.4,-0.009306290269715745,1.3954864368760653,1.0978115252830203,1.2723179635204256,0.939077408852449,-0.009306290269715745,152,21,39,29,5,15,65.5,20.7,90.9,0.419,0.423,14.3,41.8
Liam Hicks,689414,96,68.0,88.1,23.529411764705884,99.2,70.75,-0.39778425332349054,0.8904973585364434,2.4113572104314733,0.8066055349935757,0.9276689626595005,-0.39778425332349054,198,53,1,68,6,56,65.7,24.2,99.2,0.384,0.358,7.1,40.0
Tyler Stephenson,663886,77,37.0,95.2,16.216216216216218,80.4,75.15,2.109664417296312,-0.13154213376624926,-0.5639028956879153,2.048505344398506,0.8656811830601634,-0.5639028956879153,7,164,220,7,7,86,66.7,16.4,80.4,0.263,0.328,12.2,56.1
George Springer,543807,62,40.0,88.9,20.0,86.6,76.9,-0.11525482564801613,0.39725221225123064,0.4172999052663496,2.5424427685936486,0.8104350151158032,-0.11525482564801613,168,94,107,1,8,27,78.2,24.4,86.6,0.299,0.289,10.0,42.5
Jake Bauers,641343,95,52.0,93.3,17.307692307692307,82.9,74.80000000000001,1.438657026567068,0.0209946968157158,-0.16825660498054973,1.9497178595594795,0.8102782444904284,-0.16825660498054973,19,149,173,9,9,32,69.7,20.1,82.9,0.34,0.339,10.3,55.9
Zach Neto,687263,136,62.0,89.1,33.87096774193548,82.8,71.7,-0.044622468729152556,2.335758674264619,-0.1840824566088457,1.074742993842368,0.7954491856922472,-0.1840824566088457,157,5,177,41,10,33,72.2,28.8,82.8,0.352,0.332,11.4,35.4
Hunter Goodman,696100,106,45.0,93.1,44.44444444444444,74.4,65.95,1.3680246696481995,3.8134315587451098,-1.5134539933855928,-0.5481942570845281,0.7799519944807972,-1.5134539933855928,26,1,274,217,11,217,71.8,39.9,74.4,0.383,0.326,14.5,50.9
Ketel Marte,606466,114,66.0,92.3,28.78787878787879,86.7,67.75,1.08549524197273,1.625382803759361,0.43312575689464555,-0.04014433505523968,0.7759648668928742,-0.04014433505523968,39,12,105,149,12,17,68.5,33.0,86.7,0.305,0.365,9.4,47.1
Bo Naylor,666310,67,38.0,89.2,21.05263157894737,91.9,72.5,-0.009306290269715745,0.5443604137748908,1.2560700415659665,1.3005429591887179,0.7729167810649649,-0.009306290269715745,152,83,35,25,13,15,68.3,23.3,91.9,0.184,0.304,10.9,41.3
Freddie Freeman,518692,114,71.0,92.2,23.943661971830984,84.9,71.15,1.0501790635132981,0.9483899813398716,0.14826042758534275,0.9195055176667526,0.7665837475263163,0.14826042758534275,42,50,130,54,14,6,73.6,31.3,84.9,0.346,0.401,15.1,48.4
Colt Keith,690993,86,52.0,94.3,19.23076923076923,87.1,69.2,1.791818811161406,0.2897500649839406,0.49642916340782267,0.3691181021350219,0.7367790354220478,0.2897500649839406,15,109,96,112,15,2,59.4,21.0,87.1,0.336,0.353,7.8,54.7
Josh Bell,605137,109,59.0,88.8,30.508474576271187,81.9,73.2,-0.15057100410745294,1.8658408681399707,-0.32651512126349597,1.4981179288667756,0.7217181679089493,-0.32651512126349597,170,8,189,14,16,43,74.2,27.8,81.9,0.323,0.337,8.9,40.5
José Ramírez,608070,126,73.0,90.7,27.3972602739726,90.6,67.2,0.5204363866217913,1.4310399846024289,1.0503339703981345,-0.19538181123085502,0.7016071325978749,-0.19538181123085502,83,19,44,170,17,34,64.9,30.5,90.6,0.351,0.4,10.9,45.7
