season,player_id,player,pos,g,pa,ab,r,h,2b,3b,hr,rbi,bb,so,hbp,sb,cs,sf,gidp,avg,obp,slg,ops,babip,lob,iso,k_pct,bb_pct,xbh
2025,596019,Francisco Lindor,SS,160,732,644,117,172,35,0,31,86,65,131,16,31,6,7,9,0.267,0.346,0.466,0.812,0.288,223,0.199,0.17896174863387979,0.08879781420765027,66
2025,665742,Juan Soto,RF,160,715,577,120,152,20,1,43,105,127,137,3,38,4,6,17,0.263,0.396,0.525,0.921,0.27,248,0.262,0.1916083916083916,0.17762237762237762,64
2025,624413,Pete Alonso,1B,162,709,624,87,170,41,1,38,126,61,162,15,1,2,9,23,0.272,0.347,0.524,0.871,0.305,295,0.252,0.22849083215796898,0.08603667136812412,80
2025,607043,Brandon Nimmo,LF,155,652,587,81,154,27,0,25,92,50,141,7,13,1,7,8,0.262,0.324,0.436,0.76,0.301,256,0.174,0.21625766871165644,0.07668711656441718,52
2025,668901,Mark Vientos,3B,121,463,424,44,99,21,2,17,61,30,115,5,1,0,4,11,0.233,0.289,0.413,0.702,0.277,188,0.17999999999999997,0.24838012958963282,0.06479481641468683,40
2025,643446,Jeff McNeil,2B,122,462,399,42,97,21,5,12,54,49,55,8,3,0,4,5,0.243,0.335,0.411,0.746,0.253,169,0.16799999999999998,0.11904761904761904,0.10606060606060606,38
2025,683146,Brett Baty,3B,130,432,393,53,100,13,2,18,50,33,108,2,8,0,3,6,0.254,0.313,0.435,0.748,0.304,161,0.181,0.25,0.0763888888888889,33
2025,621438,Tyrone Taylor,CF,113,341,310,34,69,18,3,2,27,16,76,9,12,2,2,4,0.223,0.279,0.319,0.598,0.286,130,0.096,0.22287390029325513,0.0469208211143695,23
2025,516782,Starling Marte,LF,98,329,293,37,79,14,0,9,34,22,68,9,7,2,4,7,0.27,0.335,0.41,0.745,0.318,124,0.13999999999999996,0.2066869300911854,0.0668693009118541,23
2025,620443,Luis Torrens,C,93,283,261,20,59,14,1,5,29,19,56,2,1,0,0,7,0.226,0.284,0.345,0.629,0.27,100,0.11899999999999997,0.1978798586572438,0.06713780918727916,20
2025,682626,Francisco Alvarez,C,76,277,246,32,63,12,1,11,32,27,73,4,0,0,0,6,0.256,0.339,0.447,0.786,0.321,105,0.191,0.26353790613718414,0.09747292418772563,24
2025,682668,Luisangel Acuña,2B,95,193,175,30,41,7,0,0,8,13,37,2,16,1,1,6,0.234,0.293,0.274,0.567,0.295,89,0.04000000000000001,0.19170984455958548,0.06735751295336788,7
2025,677595,Ronny Mauricio,3B,61,184,168,19,38,6,0,6,10,15,54,1,4,0,0,5,0.226,0.293,0.369,0.662,0.296,79,0.143,0.29347826086956524,0.08152173913043478,12
2025,656775,Cedric Mullins,CF,42,143,121,16,22,4,1,2,10,16,35,2,8,0,2,0,0.182,0.284,0.281,0.565,0.233,56,0.09900000000000003,0.24475524475524477,0.11188811188811189,7
2025,608385,Jesse Winker,LF,26,81,70,8,16,5,2,1,10,9,21,0,1,0,2,1,0.229,0.309,0.4,0.709,0.3,37,0.171,0.25925925925925924,0.1111111111111111,8
2025,663584,Hayden Senger,C,33,78,72,8,13,1,0,0,4,3,22,1,0,0,1,3,0.181,0.221,0.194,0.415,0.255,33,0.013000000000000012,0.28205128205128205,0.038461538461538464,1
2025,676724,Jared Young,LF,23,47,43,5,8,1,0,4,6,2,16,1,0,0,1,1,0.186,0.234,0.488,0.722,0.167,15,0.302,0.3404255319148936,0.0425531914893617,5
2025,642350,Jose Siri,CF,16,36,32,7,2,2,0,0,1,4,17,0,2,0,0,0,0.063,0.167,0.125,0.292,0.133,19,0.062,0.4722222222222222,0.1111111111111111,2
2025,640492,José Azocar,LF,12,20,18,5,5,0,0,0,1,2,1,0,1,0,0,0,0.278,0.35,0.278,0.628,0.294,15,0.0,0.05,0.1,0
2025,608671,Travis Jankowski,RF,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0
