player_id,player,season,pos,g,pa,ab,h,hr,rbi,bb,so,avg,obp,slg,ops,iso,k_pct,bb_pct,xba,xslg,xwoba,woba,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,z_swing_percent,oz_swing_percent,whiff_percent,swing_percent,meatball_swing_percent,in_zone_swing_miss_percent,out_zone_swing_miss_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent
596019,Francisco Lindor,2025,SS,160,732,644,172,31,86,65,131,0.267,0.346,0.466,0.812,0.199,0.1789617486338797,0.0887978142076502,0.26,0.454,0.345,0.35,90.5,15.1,34.6,8.8,44.4,67.3,26.7,20.8,47.7,73.4,,,42.1,35.4,22.5,39.0,27.5,25.0,8.5
665742,Juan Soto,2025,RF,160,715,577,152,43,105,127,137,0.263,0.396,0.525,0.921,0.262,0.1916083916083916,0.1776223776223776,0.288,0.608,0.429,0.39,93.8,12.0,32.9,18.1,55.3,55.6,15.9,22.4,35.5,71.0,,,38.9,40.3,20.8,45.2,27.5,20.8,6.5
624413,Pete Alonso,2025,1B,162,709,624,170,38,126,61,162,0.272,0.347,0.524,0.871,0.252,0.2284908321579689,0.0860366713681241,0.274,0.572,0.386,0.368,93.5,15.4,38.4,18.9,54.4,65.7,27.4,25.6,46.3,76.2,,,39.3,31.6,29.1,37.8,29.9,25.5,6.8
607043,Brandon Nimmo,2025,LF,155,652,587,154,25,92,50,141,0.262,0.324,0.436,0.76,0.174,0.2162576687116564,0.0766871165644171,0.252,0.419,0.321,0.329,91.9,11.2,29.7,8.8,50.2,66.3,24.2,23.8,47.2,75.7,,,35.2,35.5,29.3,46.0,23.6,23.1,7.3
668901,Mark Vientos,2025,3B,121,463,424,99,17,61,30,115,0.233,0.289,0.413,0.702,0.1799999999999999,0.2483801295896328,0.0647948164146868,0.246,0.432,0.32,0.303,91.4,11.5,33.5,11.5,50.5,70.8,32.8,32.5,51.9,84.7,,,37.7,39.0,23.3,41.5,27.2,24.9,6.4
643446,Jeff McNeil,2025,2B,122,462,399,97,12,54,49,55,0.243,0.335,0.411,0.746,0.1679999999999999,0.119047619047619,0.106060606060606,0.266,0.395,0.33,0.324,87.2,15.9,38.9,5.1,32.9,75.8,26.8,16.6,52.9,88.1,,,48.6,29.7,21.7,36.6,28.3,27.1,8.0
683146,Brett Baty,2025,3B,130,432,393,100,18,50,33,108,0.254,0.313,0.435,0.748,0.181,0.25,0.0763888888888889,0.252,0.457,0.334,0.324,90.7,5.8,32.6,12.8,46.9,66.6,24.9,27.3,46.7,78.9,,,35.4,42.7,21.9,51.0,21.2,24.0,3.8
621438,Tyrone Taylor,2025,CF,113,341,310,69,2,27,16,76,0.223,0.279,0.319,0.598,0.096,0.2228739002932551,0.0469208211143695,0.257,0.364,0.298,0.264,86.5,19.4,40.6,3.8,35.1,65.4,30.4,22.7,49.1,75.2,,,44.8,32.2,23.0,33.1,23.0,31.0,13.0
516782,Starling Marte,2025,LF,98,329,293,79,9,34,22,68,0.27,0.335,0.41,0.745,0.1399999999999999,0.2066869300911854,0.0668693009118541,0.248,0.397,0.319,0.326,87.6,10.0,32.6,7.8,40.4,67.8,29.6,26.4,49.7,74.7,,,36.5,37.8,25.7,48.7,22.2,23.5,5.7
620443,Luis Torrens,2025,C,93,283,261,59,5,29,19,56,0.226,0.284,0.345,0.629,0.1189999999999999,0.1978798586572438,0.0671378091872791,0.274,0.454,0.338,0.278,90.6,6.2,35.9,10.7,48.1,68.5,25.8,20.7,49.3,77.7,,,30.1,44.2,25.7,50.5,20.9,26.7,1.9
682626,Francisco Alvarez,2025,C,76,277,246,63,11,32,27,73,0.256,0.339,0.447,0.786,0.191,0.2635379061371841,0.0974729241877256,0.229,0.437,0.326,0.343,93.1,9.6,32.4,12.1,54.3,66.3,27.8,34.6,45.8,83.5,,,31.8,37.6,30.6,49.7,23.7,21.4,5.2
682668,Luisangel Acuña,2025,2B,95,193,175,41,0,8,13,37,0.234,0.293,0.274,0.567,0.04,0.1917098445595854,0.0673575129533678,0.235,0.299,0.271,0.258,87.9,3.4,29.8,1.4,35.5,68.7,31.0,22.3,49.1,61.7,,,21.3,50.4,28.4,56.0,17.7,22.0,4.3
677595,Ronny Mauricio,2025,3B,61,184,168,38,6,10,15,54,0.226,0.293,0.369,0.662,0.143,0.2934782608695652,0.0815217391304347,0.218,0.366,0.286,0.29,91.2,12.7,28.1,8.8,43.0,66.7,39.9,33.9,52.5,75.0,,,47.4,28.9,23.7,45.6,22.8,21.1,10.5
656775,Cedric Mullins,2025,CF,42,143,121,22,2,10,16,35,0.182,0.284,0.281,0.565,0.099,0.2447552447552447,0.1118881118881118,0.207,0.34,0.284,0.302,88.8,23.3,32.7,6.2,35.9,69.1,26.6,23.1,48.3,82.4,,,46.3,29.9,23.8,32.4,31.8,23.1,12.7
608385,Jesse Winker,2025,LF,26,81,70,16,1,10,9,21,0.229,0.309,0.4,0.709,0.171,0.2592592592592592,0.1111111111111111,0.204,0.35,0.277,0.301,89.5,20.5,29.4,7.8,45.1,68.5,18.8,22.4,45.1,80.8,,,54.9,21.6,23.5,37.3,19.6,21.6,21.6
663584,Hayden Senger,2025,C,33,78,72,13,0,4,3,22,0.181,0.221,0.194,0.415,0.013,0.282051282051282,0.0384615384615384,0.215,0.321,0.259,0.19,88.6,9.7,28.8,3.8,38.5,68.4,39.0,33.1,54.7,57.9,,,40.4,38.5,21.2,46.2,17.3,26.9,9.6
676724,Jared Young,2025,LF,23,47,43,8,4,6,2,16,0.186,0.234,0.488,0.722,0.302,0.3404255319148936,0.0425531914893617,0.201,0.456,0.296,0.301,84.6,23.0,39.3,14.3,39.3,68.4,28.7,33.0,49.0,85.7,,,39.3,32.1,28.6,28.6,35.7,21.4,14.3
642350,Jose Siri,2025,CF,16,36,32,2,0,1,4,17,0.063,0.167,0.125,0.292,0.062,0.4722222222222222,0.1111111111111111,0.094,0.257,0.205,0.146,84.9,33.3,33.3,20.0,33.3,68.5,34.8,42.0,50.0,76.9,,,6.7,53.3,40.0,20.0,66.7,6.7,6.7
640492,José Azocar,2025,LF,12,20,18,5,0,1,2,1,0.278,0.35,0.278,0.628,0.0,0.05,0.1,0.321,0.381,0.343,0.276,86.4,7.1,44.4,0.0,27.8,67.7,30.6,6.3,47.8,100.0,,,11.1,72.2,16.7,44.4,11.1,38.9,5.6
608671,Travis Jankowski,2025,RF,5,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236,0.267,0.248,0.256,84.6,-0.4,22.9,0.0,34.3,61.1,27.0,23.3,47.3,80.0,,,34.3,42.9,22.9,62.9,11.4,20.0,5.7
