"last_name, first_name",player_id,year,b_total_pa,b_ab,b_total_hits,b_home_run,b_rbi,b_k_percent,b_bb_percent,batting_avg,on_base_percent,slg_percent,on_base_plus_slg,isolated_power,xba,xslg,xwoba,xobp,woba,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,z_swing_percent,oz_swing_percent,whiff_percent,swing_percent,meatball_swing_percent,iz_contact_percent,oz_contact_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,babip,player
"France, Ty",664034,2026,36,,,,3,,,0.297,0.35,0.649,0.999,0.352,0.349,0.716,0.471,0.399,0.426,90.8,3.6,36.4,18.2,51.5,74.7,27.6,20.8,54.1,69.2,82.1,68.8,42.4,33.3,24.2,51.5,21.2,24.2,3.0,0.267,Ty France
"Nuñez, Nasim",683083,2026,99,,,,10,,,0.2,0.299,0.212,0.511,0.012,0.212,0.265,0.27,0.309,0.25,84.5,6.2,32.8,0.0,17.9,67.8,28.6,23.0,48.0,82.8,82.5,64.4,28.4,47.8,23.9,53.7,17.9,25.4,3.0,0.262,Nasim Nuñez
"Jiménez, Eloy",650391,2026,29,,,,3,,,0.321,0.375,0.321,0.696,0.0,0.218,0.291,0.264,0.289,0.32,88.2,5.9,30.4,4.3,39.1,71.1,37.8,28.3,50.4,100.0,84.4,57.1,52.2,21.7,26.1,47.8,21.7,21.7,8.7,0.391,Eloy Jiménez
"Williams, Carson",700246,2026,25,,,,3,,,0.13,0.167,0.174,0.341,0.044,0.178,0.201,0.19,0.213,0.158,83.5,18.0,20.0,0.0,20.0,66.0,35.6,34.0,51.1,88.9,74.2,50.0,20.0,33.3,46.7,46.7,26.7,13.3,13.3,0.214,Carson Williams
"Judge, Aaron",592450,2026,123,,,,18,,,0.252,0.389,0.621,1.01,0.369,0.28,0.677,0.454,0.412,0.431,93.2,14.9,37.7,26.1,55.1,66.1,24.8,33.1,43.0,67.4,75.3,49.4,49.3,29.0,21.7,37.7,31.9,20.3,10.1,0.259,Aaron Judge
"Tucker, Kyle",663656,2026,120,,,,13,,,0.236,0.32,0.364,0.684,0.128,0.233,0.376,0.311,0.319,0.31,89.0,15.3,35.7,7.1,40.5,75.5,24.7,23.0,51.5,84.2,84.0,52.7,44.0,36.9,19.0,36.9,32.1,23.8,7.1,0.284,Kyle Tucker
"Rocchio, Brayan",677587,2026,103,,,,17,,,0.269,0.352,0.398,0.75,0.129,0.256,0.361,0.317,0.342,0.341,84.8,10.6,26.5,2.4,26.5,68.8,31.7,22.5,48.0,75.9,85.6,63.6,38.6,37.3,24.1,48.2,19.3,21.7,10.8,0.278,Brayan Rocchio
"Hill, Derek",656537,2026,40,,,,1,,,0.235,0.333,0.324,0.657,0.089,0.258,0.332,0.316,0.356,0.306,87.2,10.9,36.4,4.5,31.8,70.1,32.5,27.4,49.7,84.6,83.0,53.8,59.1,18.2,22.7,54.5,13.6,27.3,4.5,0.35,Derek Hill
"Arias, Gabriel",672356,2026,32,,,,4,,,0.2,0.25,0.433,0.683,0.233,0.209,0.414,0.293,0.26,0.298,94.6,4.9,22.2,16.7,50.0,62.3,28.4,40.4,44.5,77.8,73.7,31.6,50.0,22.2,27.8,61.1,16.7,16.7,5.6,0.25,Gabriel Arias
"Wilson, Will",669717,2026,2,,,,2,,,0.5,0.5,2.0,2.5,1.5,0.477,1.813,0.943,0.477,1.037,94.0,2.0,50.0,50.0,50.0,75.0,33.3,25.0,57.1,100.0,100.0,0.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0,Will Wilson
"Thomas, Colby",687515,2026,4,,,,1,,,0.25,0.25,0.25,0.5,0.0,0.222,0.283,0.219,0.222,0.226,107.8,10.0,100.0,0.0,100.0,75.0,54.5,41.7,63.2,50.0,83.3,33.3,0.0,100.0,0.0,0.0,0.0,100.0,0.0,1.0,Colby Thomas
"Mauricio, Ronny",677595,2026,14,,,,1,,,0.286,0.286,0.286,0.572,0.0,0.175,0.219,0.17,0.175,0.258,81.4,6.1,22.2,0.0,11.1,81.0,69.2,28.6,74.5,66.7,94.1,50.0,55.6,44.4,0.0,55.6,11.1,22.2,11.1,0.444,Ronny Mauricio
"Lile, Daylen",695734,2026,127,,,,14,,,0.278,0.346,0.417,0.763,0.139,0.302,0.453,0.357,0.369,0.34,87.9,16.3,41.7,5.2,38.9,74.5,35.1,22.6,54.7,84.0,86.8,57.5,39.6,33.3,27.1,35.4,33.3,28.1,3.1,0.312,Daylen Lile
"McLain, Matt",680574,2026,121,,,,9,,,0.208,0.339,0.327,0.666,0.119,0.231,0.39,0.339,0.359,0.312,88.2,24.1,33.3,9.7,31.9,63.0,20.4,23.5,41.7,63.6,84.5,52.1,31.9,40.3,27.8,33.3,36.1,15.3,15.3,0.271,Matt McLain
