"last_name, first_name",player_id,year,b_total_pa,b_total_hits,b_home_run,batting_avg,on_base_percent,slg_percent,on_base_plus_slg,isolated_power,xba,xslg,xwoba,woba,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,z_swing_percent,oz_swing_percent,whiff_percent,swing_percent,meatball_swing_percent,pull_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,babip
"Peters, Tristan",671976,2025,12,,,0.0,0.0,0.0,0.0,0.0,0.149,0.184,0.146,0.0,86.8,26.7,40.0,0.0,40.0,59.3,42.1,45.8,52.2,100.0,20.0,0.0,20.0,0.0,40.0,0.0
"Caratini, Victor",605170,2025,386,,,0.259,0.324,0.404,0.728,0.145,0.255,0.425,0.329,0.318,88.7,12.5,34.7,7.7,40.7,68.2,23.5,19.8,46.6,80.6,38.9,23.2,42.8,26.7,24.6,0.282
"Naylor, Josh",647304,2025,604,,,0.295,0.353,0.462,0.815,0.167,0.271,0.436,0.335,0.351,89.2,11.6,30.8,6.7,41.9,72.6,37.1,22.1,53.9,80.8,42.2,18.3,45.8,26.0,23.0,0.315
"Martin, Austin",668885,2025,181,,,0.282,0.374,0.365,0.739,0.083,0.279,0.403,0.345,0.333,86.2,9.7,35.4,5.5,38.6,63.2,18.8,17.4,40.6,75.4,41.7,20.5,52.0,16.5,26.0,0.347
"Díaz, Elias",553869,2025,283,,,0.204,0.27,0.337,0.607,0.133,0.202,0.333,0.267,0.269,88.4,17.7,30.1,7.5,38.7,73.0,30.3,34.2,52.0,77.8,38.7,26.3,37.6,28.5,21.0,0.25
"Myers, Dane",667472,2025,333,,,0.235,0.291,0.326,0.617,0.091,0.251,0.398,0.308,0.275,90.7,10.5,34.6,7.8,42.0,60.6,23.7,23.7,45.0,64.1,32.9,22.5,44.6,25.1,24.7,0.293
"Kreidler, Ryan",668952,2025,44,,,0.105,0.19,0.105,0.295,0.0,0.182,0.255,0.236,0.15,89.6,16.5,38.1,4.8,28.6,71.6,30.8,41.8,50.8,90.0,52.4,14.3,47.6,38.1,14.3,0.211
"García, Adolis",666969,2025,547,,,0.227,0.271,0.394,0.665,0.167,0.232,0.427,0.304,0.286,92.1,16.3,33.2,11.6,46.7,69.9,35.8,30.3,52.2,76.3,38.0,26.6,36.9,33.8,22.2,0.267
"Sheets, Gavin",657757,2025,545,,,0.252,0.317,0.429,0.746,0.177,0.263,0.453,0.34,0.323,89.9,14.0,38.8,9.5,46.5,59.6,31.4,23.0,44.7,64.8,42.2,23.9,37.3,24.4,29.0,0.284
"Lee, Korey",686676,2025,40,,,0.257,0.333,0.429,0.762,0.172,0.185,0.284,0.25,0.333,86.3,15.9,24.1,3.4,34.5,64.5,29.9,27.8,47.1,90.0,41.4,20.7,44.8,20.7,20.7,0.296
"Locklear, Tyler",682988,2025,116,,,0.175,0.267,0.262,0.529,0.087,0.172,0.287,0.252,0.245,87.9,7.0,18.3,6.7,41.7,67.1,33.7,32.2,48.8,69.2,43.3,18.3,60.0,28.3,11.7,0.263
"Noda, Ryan",676116,2025,59,,,0.106,0.276,0.17,0.446,0.064,0.131,0.247,0.245,0.211,89.4,26.7,21.7,8.7,34.8,59.5,19.5,44.1,40.2,85.7,47.8,30.4,34.8,30.4,17.4,0.19
"Herrera, Iván",671056,2025,452,,,0.284,0.373,0.464,0.837,0.18,0.275,0.491,0.371,0.365,91.2,10.1,33.8,11.0,47.7,64.3,25.1,23.3,45.1,72.4,35.7,26.9,48.7,19.8,24.7,0.315
"Jackson, Jeremiah",669236,2025,183,,,0.276,0.328,0.447,0.775,0.171,0.222,0.393,0.291,0.336,90.6,10.9,27.5,7.5,46.7,72.6,34.2,33.2,52.8,72.9,35.8,24.2,50.0,27.5,17.5,0.365
"France, Ty",664034,2025,490,,,0.257,0.32,0.36,0.68,0.103,0.259,0.425,0.328,0.302,89.5,10.5,35.2,7.7,44.2,73.5,31.3,21.3,51.8,79.2,31.6,29.4,46.7,24.2,25.8,0.3
"Arias, Gabriel",672356,2025,471,,,0.22,0.274,0.363,0.637,0.143,0.214,0.385,0.286,0.278,90.2,6.1,33.8,11.3,43.3,77.0,38.8,40.5,57.3,84.0,38.2,24.4,49.8,21.5,23.6,0.319
"Marsh, Brandon",669016,2025,425,,,0.28,0.342,0.443,0.785,0.163,0.263,0.432,0.33,0.339,91.1,12.6,39.1,8.3,46.4,66.2,29.1,23.2,47.1,79.0,37.7,27.2,41.7,26.1,27.9,0.363
"Swanson, Dansby",621020,2025,645,,,0.244,0.3,0.417,0.717,0.173,0.267,0.477,0.345,0.31,90.5,13.3,36.9,11.7,47.8,73.7,25.2,30.5,50.3,82.2,42.3,17.8,42.3,27.3,24.5,0.298
"Bañuelos, David",675915,2025,2,,,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.361,0.361,,,,,,100.0,33.3,75.0,50.0,,,,,,,0.0
"Elko, Tim",671284,2025,72,,,0.134,0.194,0.328,0.522,0.194,0.162,0.335,0.243,0.228,90.8,3.8,16.2,10.8,48.6,65.8,31.8,31.5,50.4,65.0,35.1,24.3,59.5,27.0,5.4,0.152
"Bader, Harrison",664056,2025,501,,,0.277,0.347,0.449,0.796,0.172,0.22,0.374,0.297,0.346,87.2,12.7,33.0,10.2,40.3,65.1,32.5,29.0,47.9,69.6,43.8,20.3,45.7,22.9,22.5,0.359
"Mastrobuoni, Miles",670156,2025,175,,,0.25,0.324,0.296,0.62,0.046,0.28,0.373,0.322,0.282,88.0,6.2,33.3,2.3,36.4,56.5,19.2,16.1,39.9,71.2,29.5,30.2,51.2,20.9,26.4,0.301
"Wiemer, Joey",686894,2025,61,,,0.236,0.279,0.436,0.715,0.2,0.241,0.458,0.305,0.297,91.4,6.4,38.2,14.7,61.8,75.0,35.9,33.1,56.6,73.3,58.8,14.7,47.1,29.4,23.5,0.323
"Valdez, Enmanuel",665839,2025,102,,,0.209,0.294,0.363,0.657,0.154,0.254,0.411,0.327,0.29,89.8,15.7,37.3,8.0,42.7,57.9,26.6,21.5,43.8,57.9,46.7,17.3,34.7,25.3,28.0,0.233
"McNeil, Jeff",643446,2025,462,,,0.243,0.335,0.411,0.746,0.168,0.266,0.395,0.33,0.324,87.2,15.9,38.9,5.1,32.9,75.8,26.8,16.6,52.9,88.1,48.6,21.7,36.6,28.3,27.1,0.253
"Edman, Tommy",669242,2025,377,,,0.225,0.274,0.382,0.656,0.157,0.274,0.411,0.321,0.284,88.3,11.8,33.3,4.5,39.9,65.1,28.4,19.8,48.0,74.3,42.6,22.3,45.7,24.4,24.4,0.235
"Jung, Josh",673962,2025,511,,,0.251,0.294,0.39,0.684,0.139,0.245,0.414,0.304,0.298,89.3,12.8,39.4,8.2,46.7,69.5,33.2,25.4,51.1,80.8,35.1,24.4,41.6,24.9,27.5,0.316
"Sosa, Lenyn",672820,2025,544,,,0.264,0.293,0.434,0.727,0.17,0.263,0.467,0.326,0.313,90.7,18.4,39.2,10.4,43.8,61.5,40.9,23.5,51.0,60.3,36.2,25.8,32.2,29.6,29.1,0.309
