team,team_id,league_id,division_id,w,l,pct,gb,rs,ra,diff,g,pyth_pct,luck,bottom_pct,bottom_diff,seller_candidate
Braves,144,104,204,21,9,0.7,-,171,103,68,30,0.7337766624842978,-0.03377666248429789,False,False,False
Yankees,147,103,201,20,10,0.667,-,153,103,50,30,0.6881356928684612,-0.021135692868461176,False,False,False
Dodgers,119,104,203,20,10,0.667,-,165,98,67,30,0.7392272394037107,-0.07222723940371067,False,False,False
Padres,135,104,203,19,10,0.655,0.5,135,126,9,29,0.5344418052256376,0.12055819477436247,False,False,False
Reds,113,104,205,19,10,0.655,-,125,119,6,29,0.5245753038339983,0.13042469616600172,False,False,False
Rays,139,103,201,18,11,0.621,1.5,136,135,1,29,0.5036899866561232,0.1173100133438768,False,False,False
Cubs,112,104,205,18,12,0.6,1.5,164,130,34,30,0.614120010959891,-0.014120010959891016,False,False,False
Cardinals,138,104,205,16,13,0.552,3.0,140,149,-9,29,0.46888830410754606,0.08311169589245399,False,False,False
D-backs,109,104,203,15,13,0.536,4.0,134,150,-16,28,0.443840221475172,0.09215977852482804,False,True,True
Brewers,158,104,205,15,13,0.536,3.5,145,115,30,28,0.6138686131386683,-0.07786861313866822,False,False,False
Pirates,134,104,205,16,14,0.533,3.5,144,126,18,30,0.5663716814159138,-0.033371681415913734,False,False,False
Athletics,133,103,200,15,14,0.517,-,120,131,-11,29,0.4562593073730092,0.06074069262699083,False,True,True
Tigers,116,103,202,15,15,0.5,-,134,127,7,30,0.5268006454451951,-0.026800645445195115,False,False,False
Guardians,114,103,202,15,16,0.484,0.5,120,130,-10,31,0.46006389776356355,0.02393610223643644,False,False,False
Mariners,136,103,200,15,16,0.484,1.0,129,124,5,31,0.5197551300871249,-0.03575513008712494,False,False,False
Orioles,110,103,201,14,15,0.483,5.5,130,143,-13,29,0.45248868778279333,0.030511312217206654,False,True,True
Rangers,140,103,200,14,16,0.467,1.5,117,112,5,30,0.521823657225612,-0.054823657225611944,False,False,False
Marlins,146,104,204,14,16,0.467,7.0,132,132,0,30,0.4999999999999857,-0.03299999999998565,False,False,False
Giants,137,104,203,13,16,0.448,6.5,97,121,-24,29,0.39122661122659497,0.05677338877340504,True,True,True
Blue Jays,141,103,201,13,16,0.448,6.5,113,138,-25,29,0.4013767956495646,0.04662320435043543,True,True,True
Twins,142,103,202,13,17,0.433,2.0,144,143,1,30,0.5034842782566347,-0.07048427825663467,True,False,True
White Sox,145,103,202,13,17,0.433,2.0,126,151,-25,30,0.4104765105876772,0.022523489412322795,True,True,True
Rockies,115,104,203,13,17,0.433,7.0,120,136,-16,30,0.43774319066146533,-0.004743190661465335,True,True,True
Nationals,120,104,204,13,17,0.433,8.0,156,179,-23,30,0.43166539546268107,0.0013346045373189286,True,True,True
Royals,118,103,202,12,17,0.414,2.5,121,137,-16,29,0.4382220891948388,-0.024222089194838814,True,True,True
Red Sox,111,103,201,12,18,0.4,8.0,122,131,-9,30,0.46447183647993556,-0.06447183647993554,True,False,True
Angels,108,103,200,12,19,0.387,4.0,148,158,-10,31,0.46735512503199483,-0.08035512503199482,True,False,True
Astros,117,103,200,11,19,0.367,4.5,154,179,-25,30,0.4253456965044672,-0.05834569650446719,True,True,True
Mets,121,104,204,10,19,0.345,10.5,100,122,-22,29,0.4018646519851952,-0.05686465198519525,True,True,True
Phillies,143,104,204,10,19,0.345,10.5,109,156,-47,29,0.328050363089148,0.016949636910851995,True,True,True
