team,team_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Yankees,NYY,2025,6235,4069,0.251,0.247,0.004,0.455,0.46,-0.005,0.338,0.341,-0.003
Brewers,MIL,2025,6227,4320,0.258,0.246,0.012,0.403,0.388,0.015,0.322,0.314,0.008
D-backs,AZ,2025,6210,4265,0.251,0.246,0.005,0.433,0.425,0.008,0.327,0.326,0.001
Red Sox,BOS,2025,6206,4197,0.254,0.244,0.01,0.421,0.413,0.008,0.323,0.319,0.004
Mariners,SEA,2025,6200,4119,0.244,0.24,0.004,0.42,0.421,-0.001,0.321,0.321,0.0
Dodgers,LAD,2025,6187,4195,0.253,0.251,0.002,0.441,0.447,-0.006,0.331,0.335,-0.004
Braves,ATL,2025,6186,4188,0.245,0.244,0.001,0.399,0.417,-0.0179999999999999,0.315,0.322,-0.007
Blue Jays,TOR,2025,6180,4488,0.265,0.26,0.005,0.427,0.429,-0.002,0.33,0.33,0.0
Mets,NYM,2025,6178,4200,0.249,0.255,-0.006,0.427,0.45,-0.023,0.326,0.339,-0.013
Phillies,PHI,2025,6166,4238,0.258,0.252,0.006,0.431,0.432,-0.001,0.329,0.328,0.001
Cubs,CHC,2025,6162,4283,0.249,0.254,-0.005,0.43,0.444,-0.014,0.325,0.333,-0.008
Athletics,ATH,2025,6151,4194,0.253,0.239,0.014,0.431,0.403,0.0279999999999999,0.324,0.309,0.015
Marlins,MIA,2025,6142,4359,0.25,0.251,-0.001,0.393,0.411,-0.0179999999999999,0.309,0.317,-0.008
Tigers,DET,2025,6093,4057,0.247,0.244,0.003,0.413,0.421,-0.008,0.317,0.321,-0.004
Astros,HOU,2025,6087,4243,0.25,0.243,0.007,0.399,0.404,-0.005,0.312,0.313,-0.001
Padres,SD,2025,6087,4356,0.252,0.252,0.0,0.39,0.406,-0.016,0.311,0.319,-0.008
Reds,CIN,2025,6082,4089,0.245,0.232,0.0129999999999999,0.391,0.374,0.017,0.309,0.299,0.01
Giants,SF,2025,6072,4069,0.235,0.233,0.0019999999999999,0.386,0.387,-0.001,0.305,0.307,-0.002
Cardinals,STL,2025,6069,4177,0.245,0.24,0.005,0.379,0.395,-0.016,0.304,0.309,-0.005
Twins,MIN,2025,6059,4103,0.238,0.236,0.002,0.397,0.403,-0.006,0.309,0.312,-0.003
Rangers,TEX,2025,6046,4167,0.234,0.237,-0.0029999999999999,0.381,0.403,-0.022,0.299,0.31,-0.011
Rays,TB,2025,6045,4132,0.251,0.243,0.008,0.401,0.394,0.007,0.311,0.308,0.003
Orioles,BAL,2025,6020,4004,0.235,0.236,-0.001,0.394,0.407,-0.0129999999999999,0.305,0.312,-0.007
Pirates,PIT,2025,6008,3998,0.231,0.237,-0.0059999999999999,0.35,0.383,-0.033,0.29,0.305,-0.015
Royals,KC,2025,6008,4405,0.247,0.252,-0.005,0.397,0.416,-0.0189999999999999,0.307,0.318,-0.011
Angels,LAA,2025,6000,3795,0.225,0.23,-0.005,0.397,0.413,-0.0159999999999999,0.302,0.311,-0.009
White Sox,CWS,2025,5987,4071,0.232,0.232,0.0,0.373,0.393,-0.02,0.296,0.305,-0.009
Nationals,WSH,2025,5982,4129,0.242,0.251,-0.009,0.389,0.408,-0.0189999999999999,0.302,0.316,-0.014
Guardians,CLE,2025,5943,4045,0.226,0.225,0.001,0.373,0.367,0.006,0.292,0.292,0.0
Rockies,COL,2025,5908,3933,0.237,0.231,0.0059999999999999,0.386,0.383,0.003,0.296,0.294,0.002
