season,team,g,pa,ab,r,h,2b,3b,hr,rbi,bb,so,sb,avg,obp,slg,ops,babip,lob,gidp,r_per_g,k_pct,bb_pct,iso,xbh_per_h,r_rank,rpg_rank,ops_rank,wrc_proxy
2025,Pittsburgh Pirates,162,6008,5375,583,1244,245,21,117,561,530,1422,115,0.231,0.305,0.35,0.655,0.291,1127,123,3.5987654320987654,0.2366844207723036,0.08821571238348869,0.11899999999999997,0.30787781350482313,30,30,30,0.655
2025,Colorado Rockies,162,5908,5408,597,1281,253,37,160,581,395,1531,87,0.237,0.293,0.386,0.679,0.299,986,118,3.685185185185185,0.25914014895057547,0.06685849695328368,0.14900000000000002,0.351288056206089,29,29,27,0.679
2025,Cleveland Guardians,162,5943,5310,643,1199,243,18,168,621,494,1344,129,0.226,0.296,0.373,0.669,0.268,1016,78,3.9691358024691357,0.22614840989399293,0.08312300185091705,0.147,0.3577981651376147,28,28,29,0.669
2025,Chicago White Sox,162,5987,5377,647,1250,243,10,165,626,498,1364,85,0.232,0.302,0.373,0.675,0.279,1055,108,3.993827160493827,0.2278269584098881,0.08318022381827292,0.141,0.3344,27,27,28,0.675
2025,Kansas City Royals,162,6008,5431,651,1342,292,22,159,638,435,1096,111,0.247,0.309,0.397,0.706,0.281,1073,97,4.018518518518518,0.18242343541944075,0.07240346205059921,0.15000000000000002,0.3524590163934426,26,26,19,0.706
2025,Los Angeles Angels,162,6000,5374,673,1209,212,17,226,649,484,1627,88,0.225,0.298,0.397,0.695,0.276,1020,99,4.154320987654321,0.27116666666666667,0.08066666666666666,0.17200000000000001,0.3763440860215054,25,25,23,0.695
2025,Baltimore Orioles,162,6020,5416,677,1273,251,19,191,643,484,1457,121,0.235,0.305,0.394,0.699,0.284,1044,102,4.179012345679013,0.2420265780730897,0.08039867109634552,0.15900000000000003,0.36213668499607227,24,24,21,0.699
2025,Minnesota Twins,162,6059,5432,678,1295,249,20,191,643,495,1372,114,0.238,0.31,0.397,0.707,0.283,1089,105,4.185185185185185,0.22644000660174946,0.08169664961214722,0.15900000000000003,0.3552123552123552,23,23,17,0.707
2025,Texas Rangers,162,6046,5443,684,1275,245,15,175,658,486,1327,134,0.234,0.302,0.381,0.683,0.276,1066,92,4.222222222222222,0.21948395633476678,0.08038372477671188,0.147,0.3411764705882353,22,22,26,0.683
2025,Houston Astros,162,6087,5490,686,1372,247,12,182,655,471,1301,85,0.25,0.315,0.399,0.714,0.294,1116,124,4.234567901234568,0.21373418761294563,0.07737801872843765,0.14900000000000002,0.32142857142857145,21,21,14,0.714
2025,Washington Nationals,162,5982,5422,687,1313,258,28,161,657,443,1351,132,0.242,0.304,0.389,0.693,0.292,988,103,4.2407407407407405,0.22584419926446006,0.07405549983283183,0.14700000000000002,0.34044173648134046,20,20,24,0.693
2025,St. Louis Cardinals,162,6069,5433,689,1331,264,9,148,653,478,1321,89,0.245,0.314,0.379,0.693,0.295,1092,115,4.253086419753086,0.21766353600263635,0.07876091613115835,0.134,0.3163035311795642,19,19,24,0.693
2025,San Diego Padres,162,6087,5424,702,1369,254,18,152,663,510,1161,106,0.252,0.321,0.39,0.711,0.293,1127,103,4.333333333333333,0.19073435189748644,0.08378511582060127,0.138,0.30971512052593136,18,18,16,0.711
2025,San Francisco Giants,162,6072,5375,705,1261,239,28,173,672,556,1380,68,0.235,0.311,0.386,0.697,0.281,1076,103,4.351851851851852,0.22727272727272727,0.09156785243741765,0.15100000000000002,0.34892942109436953,17,17,22,0.697
2025,Miami Marlins,162,6142,5543,709,1388,272,29,154,677,482,1247,138,0.25,0.314,0.393,0.707,0.295,1117,94,4.3765432098765435,0.20302832953435362,0.07847606642787365,0.14300000000000002,0.32780979827089335,16,16,17,0.707
2025,Tampa Bay Rays,162,6045,5470,714,1374,242,16,182,680,468,1397,194,0.251,0.313,0.401,0.714,0.303,1042,109,4.407407407407407,0.23110008271298593,0.07741935483870968,0.15000000000000002,0.32023289665211063,15,15,14,0.714
