season,split,team,pa,ab,h,hr,bb,so,rbi,avg,obp,slg,ops
2026,risp,Atlanta Braves,233,203,62,2,21,43,91,0.305,0.369,0.438,0.807
2026,risp,Detroit Tigers,220,193,58,6,18,52,76,0.301,0.355,0.461,0.816
2026,risp,Minnesota Twins,236,191,55,7,32,50,86,0.288,0.39,0.461,0.851
2026,risp,Tampa Bay Rays,247,209,59,4,21,48,75,0.282,0.354,0.407,0.761
2026,risp,Miami Marlins,229,193,54,4,21,48,77,0.28,0.351,0.394,0.745
2026,risp,Arizona Diamondbacks,205,180,50,7,13,42,77,0.278,0.32,0.517,0.837
2026,risp,Los Angeles Dodgers,235,197,54,10,25,52,84,0.274,0.345,0.467,0.812
2026,risp,Milwaukee Brewers,247,203,55,11,36,56,88,0.271,0.387,0.473,0.86
2026,risp,Cleveland Guardians,199,173,46,4,18,43,65,0.266,0.337,0.405,0.742
2026,risp,Houston Astros,296,231,61,3,53,54,87,0.264,0.393,0.364,0.757
2026,risp,Athletics,210,171,45,8,29,40,75,0.263,0.367,0.462,0.829
2026,risp,Boston Red Sox,214,184,48,2,21,43,68,0.261,0.344,0.375,0.719
2026,risp,Chicago Cubs,260,219,57,8,31,59,81,0.26,0.342,0.406,0.748
2026,risp,Washington Nationals,254,220,56,8,22,48,86,0.255,0.332,0.395,0.727
2026,risp,San Francisco Giants,200,181,46,3,14,44,56,0.254,0.3,0.37,0.67
2026,risp,Colorado Rockies,221,185,47,2,25,51,62,0.254,0.346,0.368,0.714
2026,risp,Texas Rangers,212,176,44,7,24,52,61,0.25,0.338,0.409,0.747
2026,risp,San Diego Padres,231,195,47,7,24,47,75,0.241,0.32,0.405,0.725
2026,risp,Los Angeles Angels,244,198,46,7,30,66,76,0.232,0.339,0.364,0.703
2026,risp,Toronto Blue Jays,223,191,44,0,20,43,56,0.23,0.301,0.304,0.605
2026,risp,Baltimore Orioles,218,183,42,6,27,61,69,0.23,0.319,0.399,0.718
2026,risp,Philadelphia Phillies,191,161,36,6,22,39,53,0.224,0.33,0.398,0.728
